0,left,25000,fit,1525,lates,201,expired,0,imbalance,104,low,0,med,0,high,0
DataSet,801,Constraints,0,run,0,fit,1525,lates,201,expired,0,imbalance,104,low,0,med,0,high,0,Evals,250,MiilsEval,1.872,elapsed,468
Plan by week / day 
Week , Day , Driver ID ,Group,Duty,Expiry Week, Final Year
0,1,   39,OFF,2,22,false
0,1,  126,CEN,2,3,true
0,1,  322,CEN,1,6,true	ON LATE DUTY!
0,1,  394,CEN,1,9,true	ON LATE DUTY!
0,1,  494,CEN,2,26,false
0,1,  583,CEN,2,30,false
0,1,  808,CEN,2,1,true
0,1,  814,CEN,2,4,true
0,1, 1268,LON,2,37,false
0,1, 1305,LON,2,24,false
0,1, 1444,LON,2,18,true
0,1, 1719,LCB,2,15,true
0,2,   37,OFF,2,30,false
0,2,   53,LMC,2,22,false
0,2,  275,CEN,2,7,false
0,2,  292,CEN,1,2,true	ON LATE DUTY!
0,2,  549,CEN,2,21,false
0,2,  561,CEN,2,15,true
0,2,  932,MAR,2,24,false
0,2, 1100,MAR,2,30,false
0,2, 1479,LON,2,13,false
0,2, 1528,LON,2,1,false
0,2, 1959,EBT,2,6,false
0,3,   90,CEN,2,37,true
0,3,  263,CEN,2,18,false
0,3,  283,CEN,2,7,true
0,3,  378,CEN,2,8,false
0,3,  695,CEN,2,21,false
0,3,  831,MAR,2,1,false
0,3,  965,MAR,2,18,false
0,3, 1063,MAR,2,5,false
0,3, 1128,MAR,2,2,true
0,3, 1206,MAR,2,4,false
0,3, 1594,LON,2,3,false
0,3, 1619,LON,2,5,true
0,4,  149,CEN,2,23,true
0,4,  175,CEN,2,1,true
0,4,  284,CEN,2,26,false
0,4,  428,CEN,2,30,false
0,4,  546,CEN,1,19,true	ON LATE DUTY!
0,4,  557,CEN,1,5,true	ON LATE DUTY!
0,4,  786,CEN,2,23,false
0,4,  790,CEN,1,33,true	ON LATE DUTY!
0,4, 1146,MAR,1,32,true	ON LATE DUTY!
0,4, 1572,LON,2,6,false
0,4, 1617,LON,2,23,false
0,4, 1652,LON,2,12,true
0,5,  255,CEN,2,3,true
0,5,  542,CEN,2,25,true
0,5,  728,CEN,2,4,false
0,5,  824,MAR,2,1,true
0,5,  991,MAR,2,16,true
0,5, 1119,MAR,2,2,true
0,5, 1399,LON,1,7,true	ON LATE DUTY!
0,5, 1468,LON,2,31,true
0,5, 1789,LCB,2,32,false
0,5, 1948,ECB,2,3,true
0,5, 1980,EBT,2,29,false
1,1,   25,OFF,1,1,true	ON LATE DUTY!
1,1,  260,CEN,2,20,true
1,1,  392,CEN,1,1,true	ON LATE DUTY!
1,1,  573,CEN,2,15,false
1,1, 1077,MAR,2,20,false
1,1, 1155,MAR,2,1,true
1,1, 1359,LON,2,22,true
1,1, 1585,LON,1,1,true	ON LATE DUTY!
1,1, 1839,ECB,1,1,true	ON LATE DUTY!
1,2,   60,LMC,2,14,false
1,2,  513,CEN,1,4,true	ON LATE DUTY!
1,2,  524,CEN,2,2,false
1,2,  724,CEN,2,28,false
1,2, 1118,MAR,1,3,true	ON LATE DUTY!
1,2, 1607,LON,1,5,true	ON LATE DUTY!
1,2, 1694,LCB,2,23,false
1,2, 1738,LCB,2,3,false
1,2, 1786,LCB,1,8,true	ON LATE DUTY!
1,2, 1808,LCB,1,1,true	ON LATE DUTY!
1,2, 1828,ECB,1,4,true	ON LATE DUTY!
1,3,    3,OFF,1,13,true	ON LATE DUTY!
1,3,  104,CEN,2,2,false
1,3,  176,CEN,2,1,true
1,3,  664,CEN,1,4,true	ON LATE DUTY!
1,3,  691,CEN,1,39,true	ON LATE DUTY!
1,3,  950,MAR,2,26,false
1,3, 1055,MAR,1,2,true	ON LATE DUTY!
1,3, 1096,MAR,2,21,false
1,3, 1233,LON,1,3,true	ON LATE DUTY!
1,3, 1279,LON,1,18,true	ON LATE DUTY!
1,3, 1837,ECB,2,7,true
1,4,   33,OFF,2,1,true
1,4,  261,CEN,2,10,false
1,4,  412,CEN,2,9,true
1,4,  825,MAR,1,38,true	ON LATE DUTY!
1,4,  913,MAR,2,35,false
1,4,  936,MAR,2,1,true
1,4, 1315,LON,2,15,true
