Dataset 801,,0,,7,,7,,0,,0
Run 0,,,,2,#DIV/0!,2,#DIV/0!,0,#DIV/0!,0
Final,,,,,,,,,,
360011,left,0,fit,10,lates,10,expired,0,imbalance,0
CPC Plan,,,,,,,,,,
Issues :,,,,,,,,,,
"CPC on lates shift: 	10",,,,,,,,,,
"License expired before training: 	0",,,,,,,,,,
"Imbalanced group places: 	0",,,,,,,,,,
Run 1,,,,,,,,,,
Final,,,,,,,,,,
441344,left,0,fit,5,lates,5,expired,0,imbalance,0
CPC Plan,,,,,,,,,,
Issues :,,,,,,,,,,
"CPC on lates shift: 	5",,,,,,,,,,
"License expired before training: 	0",,,,,,,,,,
"Imbalanced group places: 	0",,,,,,,,,,
Run 2,,,,,,,,,,
Final,,,,,,,,,,
373874,left,0,fit,7,lates,7,expired,0,imbalance,0
CPC Plan,,,,,,,,,,
Issues :,,,,,,,,,,
"CPC on lates shift: 	7",,,,,,,,,,
"License expired before training: 	0",,,,,,,,,,
"Imbalanced group places: 	0",,,,,,,,,,
Run 3,,,,,,,,,,
Final,,,,,,,,,,
467634,left,0,fit,6,lates,6,expired,0,imbalance,0
CPC Plan,,,,,,,,,,
Issues :,,,,,,,,,,
"CPC on lates shift: 	6",,,,,,,,,,
"License expired before training: 	0",,,,,,,,,,
"Imbalanced group places: 	0",,,,,,,,,,
Run 4,,,,,,,,,,
Final,,,,,,,,,,
340052,left,0,fit,8,lates,8,expired,0,imbalance,0
CPC Plan,,,,,,,,,,
Issues :,,,,,,,,,,
"CPC on lates shift: 	8",,,,,,,,,,
"License expired before training: 	0",,,,,,,,,,
"Imbalanced group places: 	0",,,,,,,,,,
Run 5,,,,,,,,,,
Final,,,,,,,,,,
372280,left,0,fit,5,lates,5,expired,0,imbalance,0
CPC Plan,,,,,,,,,,
Issues :,,,,,,,,,,
"CPC on lates shift: 	5",,,,,,,,,,
"License expired before training: 	0",,,,,,,,,,
"Imbalanced group places: 	0",,,,,,,,,,
Run 6,,,,,,,,,,
Final,,,,,,,,,,
354546,left,0,fit,9,lates,9,expired,0,imbalance,0
CPC Plan,,,,,,,,,,
Issues :,,,,,,,,,,
"CPC on lates shift: 	9",,,,,,,,,,
"License expired before training: 	0",,,,,,,,,,
"Imbalanced group places: 	0",,,,,,,,,,
Run 7,,,,,,,,,,
Final,,,,,,,,,,
537448,left,0,fit,4,lates,4,expired,0,imbalance,0
CPC Plan,,,,,,,,,,
Issues :,,,,,,,,,,
"CPC on lates shift: 	4",,,,,,,,,,
"License expired before training: 	0",,,,,,,,,,
"Imbalanced group places: 	0",,,,,,,,,,
Run 8,,,,,,,,,,
Final,,,,,,,,,,
363113,left,0,fit,9,lates,9,expired,0,imbalance,0
CPC Plan,,,,,,,,,,
Issues :,,,,,,,,,,
"CPC on lates shift: 	9",,,,,,,,,,
"License expired before training: 	0",,,,,,,,,,
"Imbalanced group places: 	0",,,,,,,,,,
Run 9,,,,,,,,,,
Final,,,,,,,,,,
409013,left,0,fit,7,lates,7,expired,0,imbalance,0
CPC Plan,,,,,,,,,,
Issues :,,,,,,,,,,
"CPC on lates shift: 	7",,,,,,,,,,
"License expired before training: 	0",,,,,,,,,,
"Imbalanced group places: 	0",,,,,,,,,,
